GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM,VISITOR_TEAM,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
10/19/2010,11000093,Final,Denver Nuggets,Oklahoma City Thunder,2010,Denver Nuggets,130,0.549,0.844,0.448,28,45,Oklahoma City Thunder,115,0.47,0.744,0.286,20,40,1
10/19/2010,11000095,Final,Los Angeles Lakers,Utah Jazz,2010,Los Angeles Lakers,74,0.333,0.8,0.286,20,37,Utah Jazz,82,0.397,0.828,0.364,19,46,0
10/19/2010,11000097,Final,Phoenix Suns,Golden State Warriors,2010,Phoenix Suns,92,0.378,0.792,0.208,17,56,Golden State Warriors,87,0.33,0.727,0.192,14,60,1
10/19/2010,11000098,Final,Los Angeles Clippers,Sacramento Kings,2010,Los Angeles Clippers,94,0.474,0.615,0.375,22,45,Sacramento Kings,96,0.383,0.667,0.353,19,43,0
10/18/2010,11000087,Final,Atlanta Hawks,Orlando Magic,2010,Atlanta Hawks,73,0.308,0.759,0.188,15,33,Orlando Magic,102,0.529,0.679,0.474,24,50,0
10/18/2010,11000090,Final,Miami Heat,Charlotte Hornets,2010,Miami Heat,96,0.392,0.912,0.438,16,36,Charlotte Hornets,102,0.565,0.743,0.6,21,30,0
10/18/2010,11000088,Final,Memphis Grizzlies,New Orleans Pelicans,2010,Memphis Grizzlies,96,0.493,0.639,0.385,17,43,New Orleans Pelicans,91,0.418,0.786,0.2,18,43,1
10/18/2010,11000091,Final,San Antonio Spurs,Oklahoma City Thunder,2010,San Antonio Spurs,102,0.434,0.821,0.467,22,39,Oklahoma City Thunder,111,0.476,0.833,0.462,20,46,0
10/18/2010,11000089,Final,Golden State Warriors,Portland Trail Blazers,2010,Golden State Warriors,100,0.444,0.706,0.211,22,48,Portland Trail Blazers,78,0.377,0.767,0.214,19,41,1
10/17/2010,11000082,Final,Toronto Raptors,Phoenix Suns,2010,Toronto Raptors,121,0.48,0.769,0.313,28,57,Phoenix Suns,100,0.457,0.714,0.273,25,38,1
10/17/2010,11000085,Final,New York Knicks,Washington Wizards,2010,New York Knicks,92,0.4,0.722,0.28,24,47,Washington Wizards,90,0.418,0.714,0.267,16,53,1
10/17/2010,11000083,Final,Denver Nuggets,Los Angeles Clippers,2010,Denver Nuggets,108,0.478,0.886,0.355,21,41,Los Angeles Clippers,104,0.471,0.909,0.364,28,33,1
10/17/2010,11000084,Final,Minnesota Timberwolves,Milwaukee Bucks,2010,Minnesota Timberwolves,114,0.513,0.821,0.529,22,40,Milwaukee Bucks,109,0.456,0.844,0.375,18,32,1
10/17/2010,11000086,Final,Los Angeles Lakers,Utah Jazz,2010,Los Angeles Lakers,94,0.39,0.824,0.286,16,43,Utah Jazz,99,0.507,0.867,0.375,20,37,0
10/16/2010,11000081,Final,Brooklyn Nets,Houston Rockets,2010,Brooklyn Nets,85,0.421,0.778,0.467,16,40,Houston Rockets,95,0.434,0.76,0.455,16,40,0
10/16/2010,11000072,Final,Charlotte Hornets,Detroit Pistons,2010,Charlotte Hornets,97,0.469,0.767,0.333,23,42,Detroit Pistons,94,0.405,0.667,0.476,20,38,1
10/16/2010,11000074,Final,Orlando Magic,Chicago Bulls,2010,Orlando Magic,105,0.623,0.722,0.5,24,43,Chicago Bulls,67,0.311,0.704,0.182,15,28,1
10/16/2010,11000071,Final,Los Angeles Clippers,Utah Jazz,2010,Los Angeles Clippers,91,0.5,0.706,0.474,20,35,Utah Jazz,103,0.541,0.645,0.273,28,34,0
10/16/2010,11000076,Final,Boston Celtics,New York Knicks,2010,Boston Celtics,97,0.486,0.852,0.333,20,46,New York Knicks,84,0.4,0.724,0.318,17,27,1
10/16/2010,11000073,Final,Memphis Grizzlies,Milwaukee Bucks,2010,Memphis Grizzlies,91,0.438,0.714,0.083,15,49,Milwaukee Bucks,77,0.329,0.76,0.32,14,37,1
10/16/2010,11000079,Final,New Orleans Pelicans,Atlanta Hawks,2010,New Orleans Pelicans,74,0.384,0.762,0.133,18,46,Atlanta Hawks,84,0.406,0.676,0.278,18,36,0
10/16/2010,11000075,Final,Portland Trail Blazers,Golden State Warriors,2010,Portland Trail Blazers,118,0.538,0.793,0.529,26,39,Golden State Warriors,105,0.5,0.8,0.389,27,38,1
10/16/2010,11000078,Final,Los Angeles Lakers,Denver Nuggets,2010,Los Angeles Lakers,102,0.5,0.759,0.235,29,43,Denver Nuggets,95,0.436,0.778,0.25,25,31,1
10/15/2010,11000068,Final,Indiana Pacers,New Orleans Pelicans,2010,Indiana Pacers,101,0.431,0.707,0.455,22,41,New Orleans Pelicans,98,0.436,0.771,0.214,17,38,1
10/15/2010,11000069,Final,Toronto Raptors,Boston Celtics,2010,Toronto Raptors,112,0.427,0.714,0.333,22,46,Boston Celtics,117,0.507,0.704,0.6,22,46,0
10/15/2010,11000070,Final,Minnesota Timberwolves,Detroit Pistons,2010,Minnesota Timberwolves,99,0.45,0.667,0.368,21,45,Detroit Pistons,88,0.338,0.889,0.222,16,41,1
10/15/2010,11000067,Final,Chicago Bulls,Dallas Mavericks,2010,Chicago Bulls,105,0.398,0.769,0.355,22,52,Dallas Mavericks,109,0.412,0.745,0.063,21,48,0
10/14/2010,11000062,Final,Orlando Magic,Charlotte Hornets,2010,Orlando Magic,86,0.416,0.769,0.343,19,42,Charlotte Hornets,73,0.391,0.762,0.5,19,37,1
10/14/2010,11000064,Final,Washington Wizards,Milwaukee Bucks,2010,Washington Wizards,88,0.429,0.5,0.263,19,46,Milwaukee Bucks,96,0.403,0.86,0.125,17,42,0
10/14/2010,11000065,Final,Cleveland Cavaliers,San Antonio Spurs,2010,Cleveland Cavaliers,106,0.519,0.833,0.5,23,49,San Antonio Spurs,80,0.37,0.591,0.389,25,40,1
10/14/2010,11000063,Final,Utah Jazz,Phoenix Suns,2010,Utah Jazz,108,0.483,0.875,0.273,26,51,Phoenix Suns,97,0.443,0.744,0.286,17,34,1
10/14/2010,11000066,Final,Los Angeles Clippers,Denver Nuggets,2010,Los Angeles Clippers,95,0.349,0.816,0.154,21,41,Denver Nuggets,100,0.354,0.837,0.316,18,50,0
10/13/2010,11000059,Final,Houston Rockets,Brooklyn Nets,2010,Houston Rockets,91,0.455,0.941,0.357,22,48,Brooklyn Nets,81,0.392,0.68,0.222,11,37,1
10/13/2010,11000053,Final,Detroit Pistons,Dallas Mavericks,2010,Detroit Pistons,96,0.467,0.824,0.4,29,37,Dallas Mavericks,101,0.519,0.455,0.409,24,40,0
10/13/2010,11000054,Final,Indiana Pacers,Minnesota Timberwolves,2010,Indiana Pacers,98,0.418,0.625,0.25,20,63,Minnesota Timberwolves,86,0.319,0.667,0.364,14,48,1
10/13/2010,11000057,Final,Toronto Raptors,Philadelphia 76ers,2010,Toronto Raptors,119,0.459,0.568,0.333,22,50,Philadelphia 76ers,116,0.427,0.781,0.158,26,55,1
10/13/2010,11000058,Final,New York Knicks,Boston Celtics,2010,New York Knicks,101,0.413,0.714,0.346,17,36,Boston Celtics,104,0.487,0.75,0.333,17,47,0
10/13/2010,11000056,Final,New Orleans Pelicans,Miami Heat,2010,New Orleans Pelicans,90,0.361,0.806,0.474,18,37,Miami Heat,76,0.415,0.933,0.348,18,39,1
10/13/2010,11000055,Final,Los Angeles Lakers,Sacramento Kings,2010,Los Angeles Lakers,98,0.44,0.6,0.429,26,47,Sacramento Kings,95,0.392,0.721,0.4,15,47,1
10/12/2010,11000047,Final,Philadelphia 76ers,Boston Celtics,2010,Philadelphia 76ers,103,0.473,0.821,0.833,30,29,Boston Celtics,92,0.5,0.828,0.545,20,38,1
10/12/2010,11000050,Final,Washington Wizards,Atlanta Hawks,2010,Washington Wizards,107,0.532,0.647,0.571,27,39,Atlanta Hawks,92,0.513,0.4,0.5,19,31,1
10/12/2010,11000044,Final,Chicago Bulls,Toronto Raptors,2010,Chicago Bulls,109,0.526,0.719,0.5,26,44,Toronto Raptors,90,0.48,0.688,0.412,21,22,1
10/12/2010,11000045,Final,Minnesota Timberwolves,Denver Nuggets,2010,Minnesota Timberwolves,122,0.433,0.868,0.478,26,49,Denver Nuggets,108,0.419,0.732,0.313,16,45,1
10/12/2010,11000046,Final,Oklahoma City Thunder,Memphis Grizzlies,2010,Oklahoma City Thunder,96,0.429,0.694,0.385,18,34,Memphis Grizzlies,116,0.657,0.558,0.5,20,34,0
10/12/2010,11000052,Final,Los Angeles Clippers,San Antonio Spurs,2010,Los Angeles Clippers,99,0.415,0.75,0.406,25,46,San Antonio Spurs,100,0.409,0.633,0.278,22,51,0
10/12/2010,11000048,Final,Phoenix Suns,Utah Jazz,2010,Phoenix Suns,100,0.45,0.588,0.348,23,46,Utah Jazz,105,0.438,0.861,0.235,22,39,0
10/12/2010,11000049,Final,Sacramento Kings,Golden State Warriors,2010,Sacramento Kings,116,0.481,0.837,0.375,19,46,Golden State Warriors,97,0.422,0.833,0.167,16,33,1
10/11/2010,11000043,Final,Detroit Pistons,Atlanta Hawks,2010,Detroit Pistons,94,0.52,0.706,0.444,22,34,Atlanta Hawks,85,0.441,0.692,0.538,22,41,1
10/11/2010,11000042,Final,Dallas Mavericks,Cleveland Cavaliers,2010,Dallas Mavericks,79,0.369,0.609,0.167,24,49,Cleveland Cavaliers,85,0.371,0.784,0.308,20,51,0
10/11/2010,11000041,Final,Portland Trail Blazers,Utah Jazz,2010,Portland Trail Blazers,100,0.477,0.895,0.308,11,26,Utah Jazz,109,0.507,0.721,0.545,18,39,0
10/10/2010,11000037,Final,Boston Celtics,Toronto Raptors,2010,Boston Celtics,91,0.53,0.708,0.4,23,41,Toronto Raptors,87,0.398,0.593,0.455,14,35,1
10/10/2010,11000039,Final,Orlando Magic,New Orleans Pelicans,2010,Orlando Magic,135,0.648,0.757,0.556,27,44,New Orleans Pelicans,81,0.329,0.818,0.389,15,31,1
10/10/2010,11000038,Final,Houston Rockets,Cleveland Cavaliers,2010,Houston Rockets,93,0.429,0.625,0.278,14,42,Cleveland Cavaliers,99,0.48,0.767,0.222,22,40,0
10/10/2010,11000040,Final,Golden State Warriors,Sacramento Kings,2010,Golden State Warriors,95,0.412,0.786,0.15,17,54,Sacramento Kings,86,0.341,0.737,0.435,21,50,1
10/9/2010,11000031,Final,Brooklyn Nets,Philadelphia 76ers,2010,Brooklyn Nets,90,0.423,0.667,0.364,18,50,Philadelphia 76ers,89,0.354,0.784,0.167,16,47,1
10/9/2010,11000032,Final,Houston Rockets,Indiana Pacers,2010,Houston Rockets,126,0.568,0.808,0.333,29,36,Indiana Pacers,92,0.417,0.842,0.316,18,37,1
10/9/2010,11000034,Final,Milwaukee Bucks,Charlotte Hornets,2010,Milwaukee Bucks,86,0.359,0.793,0.389,15,47,Charlotte Hornets,78,0.378,0.677,0.167,16,43,1
