GAME_DATE,GAME_ID,SEASON,HOME_TEAM_WINS,HOME_TEAM,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,VISITOR_TEAM,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2022-02-15,22100871,2021,1,Minnesota Timberwolves,126,0.394,0.628,0.236,29,58,Charlotte Hornets,120,0.412,0.757,0.242,31,62
2022-02-15,22100872,2021,0,New Orleans Pelicans,109,0.5,0.85,0.154,20,34,Memphis Grizzlies,121,0.5,0.63,0.294,29,49
2022-02-15,22100873,2021,1,Phoenix Suns,103,0.489,0.7,0.32,30,52,Los Angeles Clippers,96,0.412,0.667,0.286,26,46
2022-02-14,22100858,2021,1,Washington Wizards,103,0.471,0.778,0.31,21,45,Detroit Pistons,94,0.376,0.815,0.348,19,44
2022-02-14,22100859,2021,1,Brooklyn Nets,109,0.512,0.933,0.346,25,49,Sacramento Kings,85,0.344,0.778,0.257,12,43
2022-02-14,22100860,2021,0,New York Knicks,123,0.417,0.818,0.3,28,56,Oklahoma City Thunder,127,0.5,0.667,0.382,28,46
2022-02-14,22100861,2021,1,Chicago Bulls,120,0.523,0.857,0.417,25,53,San Antonio Spurs,109,0.478,0.714,0.3,28,33
2022-02-14,22100862,2021,0,Milwaukee Bucks,107,0.427,0.75,0.317,18,43,Portland Trail Blazers,122,0.455,0.737,0.419,30,58
2022-02-14,22100863,2021,1,New Orleans Pelicans,120,0.584,0.875,0.457,36,47,Toronto Raptors,90,0.305,0.774,0.235,8,44
2022-02-14,22100864,2021,1,Denver Nuggets,121,0.477,0.913,0.4,25,52,Orlando Magic,111,0.44,0.87,0.282,24,42
2022-02-14,22100865,2021,1,Utah Jazz,135,0.551,0.864,0.45,34,53,Houston Rockets,101,0.422,0.679,0.324,23,33
2022-02-14,22100866,2021,1,Los Angeles Clippers,119,0.565,0.533,0.441,25,43,Golden State Warriors,104,0.453,0.769,0.39,23,38
2022-02-13,22100856,2021,1,Boston Celtics,105,0.424,0.815,0.289,21,54,Atlanta Hawks,95,0.366,1,0.316,18,48
2022-02-13,22100857,2021,0,Indiana Pacers,120,0.441,0.773,0.289,28,54,Minnesota Timberwolves,129,0.512,0.893,0.529,23,38
2022-02-12,22100845,2021,1,Portland Trail Blazers,112,0.476,0.85,0.375,29,51,New York Knicks,103,0.383,0.853,0.308,19,41
2022-02-12,22100846,2021,0,Charlotte Hornets,118,0.402,0.788,0.311,28,53,Memphis Grizzlies,125,0.49,0.606,0.333,31,57
2022-02-12,22100847,2021,0,Washington Wizards,110,0.466,0.714,0.342,26,32,Sacramento Kings,123,0.566,0.862,0.429,27,42
2022-02-12,22100848,2021,0,New Orleans Pelicans,114,0.494,0.85,0.344,22,46,San Antonio Spurs,124,0.505,0.842,0.378,26,34
2022-02-12,22100849,2021,1,Philadelphia 76ers,103,0.481,0.81,0.455,24,40,Cleveland Cavaliers,93,0.468,0.867,0.333,21,34
2022-02-12,22100850,2021,0,Toronto Raptors,109,0.489,0.647,0.353,22,35,Denver Nuggets,110,0.464,0.857,0.378,28,50
2022-02-12,22100851,2021,1,Miami Heat,115,0.5,0.793,0.345,20,52,Brooklyn Nets,111,0.452,0.682,0.3,16,41
2022-02-12,22100852,2021,1,Chicago Bulls,106,0.449,0.826,0.28,20,57,Oklahoma City Thunder,101,0.386,0.733,0.306,22,43
2022-02-12,22100853,2021,0,Dallas Mavericks,97,0.412,0.632,0.385,16,44,Los Angeles Clippers,99,0.524,0.545,0.318,23,42
2022-02-12,22100854,2021,1,Golden State Warriors,117,0.444,0.735,0.316,24,50,Los Angeles Lakers,115,0.466,0.667,0.407,25,48
2022-02-12,22100855,2021,1,Phoenix Suns,132,0.524,0.7,0.441,40,52,Orlando Magic,105,0.425,0.667,0.366,25,44
2022-02-11,22100838,2021,0,Detroit Pistons,119,0.471,0.611,0.343,32,45,Charlotte Hornets,141,0.557,0.652,0.429,36,51
2022-02-11,22100839,2021,0,Indiana Pacers,113,0.472,0.688,0.474,25,38,Cleveland Cavaliers,120,0.531,0.833,0.375,20,32
2022-02-11,22100840,2021,1,Philadelphia 76ers,100,0.387,0.808,0.269,19,55,Oklahoma City Thunder,87,0.389,0.917,0.171,21,52
2022-02-11,22100841,2021,0,Atlanta Hawks,121,0.456,0.867,0.326,28,49,San Antonio Spurs,136,0.556,0.857,0.563,37,41
2022-02-11,22100842,2021,1,Boston Celtics,108,0.396,0.733,0.27,24,54,Denver Nuggets,102,0.433,0.722,0.25,23,52
2022-02-11,22100843,2021,1,Chicago Bulls,134,0.632,0.769,0.452,32,43,Minnesota Timberwolves,122,0.5,0.813,0.325,32,32
2022-02-11,22100844,2021,1,Utah Jazz,114,0.449,0.875,0.317,22,50,Orlando Magic,99,0.44,0.75,0.371,23,40
2022-02-10,22100831,2021,0,Detroit Pistons,107,0.436,0.857,0.2,27,40,Memphis Grizzlies,132,0.478,0.69,0.5,32,60
2022-02-10,22100832,2021,1,Washington Wizards,113,0.506,0.889,0.355,29,41,Brooklyn Nets,112,0.464,0.857,0.345,19,42
2022-02-10,22100833,2021,0,New Orleans Pelicans,97,0.424,0.875,0.268,19,39,Miami Heat,112,0.481,0.857,0.313,25,43
2022-02-10,22100834,2021,0,Houston Rockets,120,0.524,0.6,0.421,25,41,Toronto Raptors,139,0.546,0.818,0.385,25,37
2022-02-10,22100835,2021,1,Dallas Mavericks,112,0.487,0.852,0.333,19,41,Los Angeles Clippers,105,0.481,0.72,0.391,24,31
2022-02-10,22100836,2021,1,Phoenix Suns,131,0.567,0.69,0.3,35,43,Milwaukee Bucks,107,0.455,0.68,0.263,18,39
2022-02-10,22100837,2021,0,Golden State Warriors,114,0.462,0.882,0.333,27,38,New York Knicks,116,0.433,0.727,0.389,24,51
2022-02-09,22100825,2021,1,Cleveland Cavaliers,105,0.476,0.75,0.429,18,51,San Antonio Spurs,92,0.384,0.727,0.242,24,46
2022-02-09,22100826,2021,0,Charlotte Hornets,109,0.43,0.696,0.302,26,43,Chicago Bulls,121,0.561,0.684,0.485,27,40
